Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
16.04.2026 18:00;16.04.2026 19:00;4.510,27;1.473,67;1.056,95;4.230,53;8.724,15;94,74;-;8.435,05;4.783,34;9.225,45;1.199,93;1.808,97
16.04.2026 19:00;16.04.2026 20:00;4.594,88;1.455,71;732,31;2.976,26;2.390,20;94,74;-;8.496,73;4.992,80;9.686,63;3.722,32;1.829,42
16.04.2026 20:00;16.04.2026 21:00;4.584,50;1.589,49;346,28;2.430,18;67,84;94,74;-;8.644,32;5.238,17;9.989,41;5.290,20;1.806,56
16.04.2026 21:00;16.04.2026 22:00;4.518,77;1.577,56;175,40;2.325,01;0,00;94,74;-;8.614,95;4.899,21;9.785,78;4.791,33;1.790,07
16.04.2026 22:00;16.04.2026 23:00;4.387,15;1.489,47;105,85;2.398,26;0,00;94,74;-;8.608,02;4.733,90;9.543,85;1.927,69;1.763,84
16.04.2026 23:00;17.04.2026 00:00;4.223,63;1.464,21;52,31;2.339,33;0,00;94,74;-;8.742,33;4.714,64;9.161,12;520,15;1.744,82
17.04.2026 00:00;17.04.2026 01:00;4.071,31;1.460,88;39,14;2.435,38;0,00;97,11;-;8.875,19;4.741,56;8.908,66;230,33;1.883,13
17.04.2026 01:00;17.04.2026 02:00;4.079,77;1.455,56;220,01;2.428,88;0,00;94,74;-;8.965,31;4.759,89;8.780,53;25,47;1.880,80
17.04.2026 02:00;17.04.2026 03:00;4.073,15;1.463,58;439,04;2.463,54;0,00;94,74;-;8.956,10;4.735,30;8.596,55;49,12;1.846,14
17.04.2026 03:00;17.04.2026 04:00;4.066,44;1.452,47;618,37;2.560,62;0,00;94,74;-;8.995,58;4.507,90;8.637,70;29,81;1.845,93
17.04.2026 04:00;17.04.2026 05:00;4.128,07;1.444,76;945,11;2.699,96;0,00;94,74;-;9.006,91;4.564,81;8.853,61;24,46;1.851,14
17.04.2026 05:00;17.04.2026 06:00;4.205,22;1.426,15;1.270,64;2.670,97;0,18;94,74;-;9.035,52;4.549,74;9.386,94;124,27;1.837,44
17.04.2026 06:00;17.04.2026 07:00;4.384,48;1.422,41;1.616,33;2.785,68;662,37;94,74;-;9.008,24;4.533,98;9.824,61;3.180,64;1.820,74
17.04.2026 07:00;17.04.2026 08:00;4.534,11;1.507,05;1.517,93;2.834,95;6.481,75;94,74;-;8.558,00;4.815,48;9.947,86;2.664,73;1.815,27
17.04.2026 08:00;17.04.2026 09:00;4.538,10;1.560,61;1.301,17;2.136,52;17.662,80;94,74;-;7.461,94;4.799,27;9.098,46;668,18;1.859,09
17.04.2026 09:00;17.04.2026 10:00;4.438,69;1.547,18;1.186,58;1.021,49;30.375,01;94,74;-;6.223,56;3.803,91;6.166,99;84,62;1.875,57
17.04.2026 10:00;17.04.2026 11:00;4.295,23;1.587,62;842,59;677,66;40.481,88;94,24;-;4.763,87;2.952,28;3.716,39;89,27;1.886,00
17.04.2026 11:00;17.04.2026 12:00;4.179,14;1.562,08;605,15;748,52;46.720,33;93,74;-;4.166,26;2.885,32;3.017,84;17,30;1.823,79
17.04.2026 12:00;17.04.2026 13:00;4.071,00;1.549,05;415,14;836,99;48.300,33;93,74;-;4.286,09;2.460,38;2.739,18;67,72;1.822,68
17.04.2026 13:00;17.04.2026 14:00;4.050,71;1.550,15;504,04;871,60;46.755,25;93,74;-;4.381,77;2.160,98;2.662,11;22,52;1.792,56
17.04.2026 14:00;17.04.2026 15:00;4.039,48;1.532,34;504,37;888,77;42.857,84;93,74;-;4.499,74;2.226,05;2.664,02;29,65;1.815,61
17.04.2026 15:00;17.04.2026 16:00;4.076,87;1.559,69;363,85;935,05;36.789,61;93,74;-;4.677,24;2.276,50;2.738,60;4,90;1.844,43
17.04.2026 16:00;17.04.2026 17:00;4.199,63;1.579,36;373,80;1.207,82;29.626,42;93,99;-;6.302,87;2.795,54;3.533,17;6,35;1.878,79
17.04.2026 17:00;17.04.2026 18:00;4.331,58;1.528,87;372,36;1.485,37;19.766,94;94,74;-;8.582,25;3.706,63;6.146,92;388,31;1.902,87
17.04.2026 18:00;17.04.2026 19:00;4.538,17;1.502,98;379,33;2.201,37;9.556,98;94,74;-;8.896,50;4.260,26;8.443,39;1.593,27;1.916,41
17.04.2026 19:00;17.04.2026 20:00;4.639,34;1.551,36;334,96;3.372,21;2.400,11;94,74;-;8.908,14;4.301,99;9.050,44;4.454,24;1.918,84
17.04.2026 20:00;17.04.2026 21:00;4.618,95;1.576,68;374,89;5.088,77;85,70;94,74;-;8.903,84;4.310,77;9.177,52;5.208,59;1.926,35
17.04.2026 21:00;17.04.2026 22:00;4.554,41;1.532,83;564,90;6.904,00;0,08;94,74;-;8.665,42;4.316,65;9.076,16;4.833,82;1.914,11
17.04.2026 22:00;17.04.2026 23:00;4.415,19;1.503,40;792,94;7.739,13;0,01;94,74;-;8.700,41;4.248,34;8.721,75;3.486,30;1.943,81
17.04.2026 23:00;18.04.2026 00:00;4.271,37;1.493,90;967,03;7.930,10;0,01;94,74;-;8.768,62;4.025,52;8.206,93;1.310,54;1.942,03
18.04.2026 00:00;18.04.2026 01:00;4.148,20;1.503,24;1.126,56;7.910,45;0,01;94,74;-;8.137,33;3.854,31;6.658,74;897,88;1.942,03
18.04.2026 01:00;18.04.2026 02:00;4.118,69;1.418,71;1.116,98;7.181,55;0,00;94,74;-;7.847,43;3.409,80;6.010,38;308,55;1.921,82
18.04.2026 02:00;18.04.2026 03:00;4.099,88;1.395,46;934,22;6.571,05;0,00;94,74;-;7.915,12;2.769,84;5.919,18;559,45;1.913,65
18.04.2026 03:00;18.04.2026 04:00;4.110,85;1.401,32;731,28;5.735,28;0,00;94,74;-;7.866,83;2.715,03;5.933,01;468,88;1.933,00
18.04.2026 04:00;18.04.2026 05:00;4.149,22;1.404,01;561,60;5.061,97;0,00;94,74;-;7.938,22;2.759,39;5.902,32;241,42;1.944,34
18.04.2026 05:00;18.04.2026 06:00;4.231,32;1.376,90;514,90;4.515,72;0,58;94,74;-;7.956,01;3.061,49;5.994,40;781,62;1.901,43
18.04.2026 06:00;18.04.2026 07:00;4.457,77;1.393,26;587,53;4.389,05;642,66;94,74;-;7.781,95;3.124,85;5.931,74;1.849,86;1.886,36
18.04.2026 07:00;18.04.2026 08:00;4.608,56;1.446,76;894,21;4.010,28;5.407,91;94,74;-;7.346,28;2.786,79;5.013,89;518,22;1.903,70
18.04.2026 08:00;18.04.2026 09:00;4.613,37;1.470,84;1.038,48;2.761,28;14.654,40;94,74;-;6.699,93;2.439,51;3.360,29;92,06;1.926,47
18.04.2026 09:00;18.04.2026 10:00;4.485,58;1.498,38;872,02;1.298,79;25.193,36;94,74;-;4.862,24;1.876,11;3.058,88;127,21;1.879,34
18.04.2026 10:00;18.04.2026 11:00;4.300,60;1.530,61;773,67;819,62;34.145,69;94,74;-;3.717,83;1.699,96;2.642,84;83,69;1.937,03
18.04.2026 11:00;18.04.2026 12:00;4.177,68;1.519,38;736,58;960,67;40.861,22;94,74;-;3.348,86;1.547,10;2.394,26;18,44;1.926,39
18.04.2026 12:00;18.04.2026 13:00;4.082,39;1.454,04;825,97;1.610,85;41.786,31;94,74;-;3.210,68;1.527,49;2.202,05;3,87;1.930,04
18.04.2026 13:00;18.04.2026 14:00;4.043,51;1.434,58;701,68;2.083,13;38.681,65;94,74;-;3.236,87;1.586,48;2.215,90;4,52;1.934,11
18.04.2026 14:00;18.04.2026 15:00;4.046,68;1.421,38;496,84;2.626,42;32.069,33;94,74;-;3.571,02;1.856,37;2.264,97;230,48;1.837,16
18.04.2026 15:00;18.04.2026 16:00;4.085,99;1.465,00;638,01;3.011,86;25.691,62;94,74;-;4.606,74;2.011,49;2.502,56;604,23;1.856,56
18.04.2026 16:00;18.04.2026 17:00;4.215,62;1.462,01;664,33;3.215,00;18.752,54;94,74;-;5.423,12;2.375,86;2.785,26;128,50;1.855,75
18.04.2026 17:00;18.04.2026 18:00;4.378,02;1.474,14;744,95;3.246,01;12.369,20;94,74;-;5.997,50;2.675,39;3.689,28;479,10;1.925,88
18.04.2026 18:00;18.04.2026 19:00;4.546,52;1.462,89;889,31;3.559,12;6.153,25;94,74;-;6.294,90;3.192,85;5.743,55;2.083,41;1.948,00
18.04.2026 19:00;18.04.2026 20:00;4.638,69;1.464,74;1.115,58;3.951,72;1.605,29;94,74;-;6.545,51;3.479,07;6.371,81;3.394,84;1.963,12
18.04.2026 20:00;18.04.2026 21:00;4.634,16;1.464,63;1.109,07;3.832,57;51,80;94,74;-;6.606,07;3.803,25;6.524,83;4.480,92;1.958,03
18.04.2026 21:00;18.04.2026 22:00;4.568,97;1.461,17;1.053,31;4.101,45;0,05;94,74;-;6.649,23;4.009,92;6.587,94;4.432,88;1.960,92
18.04.2026 22:00;18.04.2026 23:00;4.426,22;1.436,42;974,12;3.976,65;0,02;94,74;-;6.649,55;4.231,43;6.545,26;3.173,83;1.964,38
18.04.2026 23:00;19.04.2026 00:00;4.284,99;1.439,38;791,77;3.657,10;0,02;94,74;-;6.325,49;4.124,24;6.282,89;2.214,65;1.966,19
19.04.2026 00:00;19.04.2026 01:00;4.167,01;1.509,47;648,99;3.377,23;0,01;94,74;-;6.132,55;3.575,43;6.202,53;1.362,96;1.989,19
19.04.2026 01:00;19.04.2026 02:00;4.122,16;1.463,94;574,28;3.486,94;0,01;94,74;-;6.151,87;3.507,23;5.701,25;664,61;1.972,00
19.04.2026 02:00;19.04.2026 03:00;4.093,47;1.408,29;659,53;3.653,62;0,00;94,74;-;6.137,70;3.519,56;5.207,05;625,26;1.953,20
19.04.2026 03:00;19.04.2026 04:00;4.089,70;1.435,14;680,31;4.463,14;0,00;94,74;-;6.127,50;3.503,88;4.550,83;130,06;1.962,09
19.04.2026 04:00;19.04.2026 05:00;4.126,32;1.380,69;753,21;5.116,35;0,00;94,74;-;6.126,35;3.453,46;4.625,09;49,69;1.973,44
19.04.2026 05:00;19.04.2026 06:00;4.215,23;1.363,09;930,14;6.613,78;0,18;94,74;-;5.989,34;3.465,58;4.723,03;39,82;1.958,56
19.04.2026 06:00;19.04.2026 07:00;4.446,03;1.368,56;1.322,65;7.468,72;418,35;94,74;-;5.982,79;3.200,05;4.425,47;110,03;1.920,41
19.04.2026 07:00;19.04.2026 08:00;4.558,90;1.393,23;1.371,72;8.235,20;3.119,27;94,49;-;5.876,14;2.879,98;4.300,84;124,17;1.918,64
19.04.2026 08:00;19.04.2026 09:00;4.543,56;1.394,05;1.586,88;8.933,48;7.713,51;93,74;-;5.271,17;1.979,88;3.678,93;24,27;1.913,37
19.04.2026 09:00;19.04.2026 10:00;4.428,10;1.432,97;2.041,85;8.896,16;13.347,35;93,74;-;3.602,52;1.861,37;3.089,50;20,65;1.864,26
19.04.2026 10:00;19.04.2026 11:00;4.246,91;1.536,31;2.163,66;8.738,18;17.655,14;93,74;-;3.045,57;1.543,13;2.393,46;46,90;1.817,06
19.04.2026 11:00;19.04.2026 12:00;4.147,75;1.493,72;2.055,27;10.478,38;20.338,92;93,74;-;2.810,85;1.470,22;2.046,99;5,81;1.822,46
19.04.2026 12:00;19.04.2026 13:00;4.042,38;1.580,22;2.476,05;12.649,84;22.776,25;93,74;-;2.717,59;1.472,84;2.027,08;8,81;1.864,80
19.04.2026 13:00;19.04.2026 14:00;4.010,98;1.551,50;2.413,28;13.846,54;22.977,55;93,74;-;2.698,40;1.650,39;2.059,90;5,84;1.881,50
19.04.2026 14:00;19.04.2026 15:00;3.995,01;1.586,80;2.410,66;14.973,88;22.376,85;93,74;-;2.636,40;1.666,78;2.064,93;7,29;1.867,67
19.04.2026 15:00;19.04.2026 16:00;4.005,30;1.567,47;2.775,93;16.492,71;21.113,01;93,74;-;2.670,78;1.652,45;2.071,66;7,47;1.863,51
19.04.2026 16:00;19.04.2026 17:00;4.131,97;1.573,49;2.724,79;18.782,84;18.780,49;93,74;-;2.952,24;1.654,69;2.090,50;11,53;1.845,21
19.04.2026 17:00;19.04.2026 18:00;4.331,99;1.597,36;3.521,06;22.012,02;13.966,79;94,24;-;3.638,11;1.844,76;2.620,38;39,42;1.859,80
19.04.2026 18:00;19.04.2026 19:00;4.546,18;1.582,80;3.899,93;21.696,41;7.712,36;94,74;-;5.496,13;2.356,19;3.902,50;212,58;1.900,38
19.04.2026 19:00;19.04.2026 20:00;4.629,65;1.589,59;4.411,49;19.997,30;2.171,18;94,74;-;6.551,01;3.262,17;4.839,62;638,32;1.940,41
19.04.2026 20:00;19.04.2026 21:00;4.613,15;1.608,91;4.704,77;18.365,84;82,63;94,74;-;6.393,37;3.413,20;4.830,20;1.161,02;1.931,53
19.04.2026 21:00;19.04.2026 22:00;4.545,72;1.589,76;4.801,62;17.107,91;0,45;94,74;-;6.779,43;3.986,39;4.848,02;1.060,78;1.919,66
19.04.2026 22:00;19.04.2026 23:00;4.410,16;1.570,24;4.661,81;16.959,28;0,02;94,74;-;6.368,46;4.107,72;5.192,11;891,16;1.750,79
19.04.2026 23:00;20.04.2026 00:00;4.278,28;1.474,68;4.377,88;17.334,60;0,02;94,74;-;6.221,63;3.861,13;4.581,91;144,15;1.746,88
