Epoch;train_loss;val_loss
0;0.10250255574454677;0.05841854587197304
1;0.03336787996989376;0.07687609642744064
2;0.025206828744695434;0.030338050797581673
3;0.020604563797911944;0.02561488002538681
4;0.01792174868531666;0.025417407974600792
5;0.015896608868508407;0.013163881376385689
6;0.014526180887840828;0.014988676644861698
7;0.012978781840570693;0.018206246197223663
8;0.013298774515893662;0.01336449570953846
9;0.012112079003720352;0.012371289543807507
10;0.011612504685543618;0.011298305355012417
11;0.011421683622207844;0.01680617779493332
12;0.01126361415580899;0.015647562220692635
13;0.010549360635813396;0.015035830438137054
14;0.009791465093961583;0.01233914215117693
15;0.009183405916083534;0.009910430759191513
16;0.008879317287004218;0.008997584693133831
17;0.008397598601526246;0.009854433126747608
18;0.008659949860061114;0.011798365041613579
19;0.009119789748681042;0.01013391837477684
20;0.008511281967655106;0.008781857788562775
21;0.008174000562713394;0.012099677696824074
22;0.00808192698179551;0.010739503428339958
23;0.008111460898774412;0.008861202746629715
24;0.007444128323838396;0.011628437787294388
25;0.007773689872954252;0.007425588555634022
26;0.007327469043820253;0.007332339882850647
27;0.007343486592806173;0.008130215108394623
28;0.007589427657636269;0.007666260935366154
29;0.007382518031968261;0.009821245446801186
30;0.007018971437026026;0.007830355316400528
31;0.0067110772943124175;0.007693661376833916
32;0.0067492847743813155;0.008874100632965565
33;0.0069043999296208875;0.007166711147874594
34;0.006952964197756407;0.006218823604285717
35;0.006583379498103036;0.009338445030152798
36;0.00659538155755485;0.005756636615842581
37;0.006295113688123957;0.007249556481838226
38;0.006132491756634752;0.008824833668768406
39;0.006327771272000698;0.013842742890119553
40;0.00640260005580648;0.006430362351238728
41;0.006124758721715858;0.00730745168402791
42;0.006047778418024053;0.009507013484835625
43;0.0057823602791067285;0.005869254004210234
44;0.005510954083084076;0.006845775526016951
45;0.005018318065371856;0.005892445333302021
46;0.005015269422657647;0.006364603526890278
47;0.005063464293994431;0.006658254656940699
48;0.005098727487800819;0.007985744625329971
49;0.004942174359523463;0.007125366944819689
50;0.005187801305064053;0.005234031472355127
51;0.004749581101350486;0.0049095917493104935
52;0.004778743064786606;0.006037125363945961
53;0.005157092445582713;0.006893935147672892
54;0.004818717852445706;0.004942071158438921
55;0.004899426036127755;0.005941823124885559
56;0.004706950741820037;0.008184045553207397
57;0.0049193654327987215;0.00897704903036356
58;0.0049175507397795064;0.0049779657274484634
59;0.004601892070704192;0.007381543517112732
60;0.004231001992868084;0.005885947961360216
61;0.0042442987510442455;0.004569091834127903
62;0.004308061814814244;0.0046457513235509396
63;0.00419873141964792;0.005103834439069033
64;0.004397662743082586;0.005052974447607994
65;0.004218975749780547;0.004892182070761919
66;0.004134109676464127;0.004916701465845108
67;0.0042406007963812576;0.005507206544280052
68;0.0043963208060957635;0.004873775877058506
69;0.004184280818697276;0.0045533631928265095
70;0.004314334074667883;0.006080101244151592
71;0.004237668246101096;0.006357589270919561
72;0.004062373984060338;0.005387101322412491
73;0.004021794650536733;0.006478434428572655
74;0.004153737301920664;0.004551742225885391
75;0.004059212427270019;0.00624169921502471
76;0.004161330502269403;0.004546212498098612
77;0.003940857212138275;0.006348122842609882
78;0.004051827337979427;0.005256974138319492
79;0.003879381359097952;0.006490452215075493
80;0.004094851881986097;0.005386941134929657
81;0.0041679816127245155;0.005098435096442699
82;0.003894125720934134;0.005183557979762554
83;0.0040361747378483415;0.004134871531277895
84;0.0040807329878246165;0.005353609099984169
85;0.0040118265962931065;0.004649633076041937
86;0.004024786740664463;0.0064903125166893005
87;0.003927189503128658;0.005328006576746702
88;0.0039372464404705;0.005684913136065006
89;0.0039801089365457025;0.004166435915976763
90;0.004004985014995876;0.004619957413524389
91;0.0038997228608800556;0.005003616213798523
92;0.003580865842281437;0.005018392112106085
93;0.0036405041695238565;0.005452044308185577
94;0.0036117712909988354;0.005623131990432739
95;0.00367872698017273;0.0045578619465231895
96;0.0037496428594063474;0.006294481456279755
97;0.003630762711114619;0.0038229655474424362
98;0.0035976027424078224;0.005456177983433008
99;0.0036190874514363284;0.005163300782442093
100;0.003577290324687536;0.00483736814931035
101;0.0035249864098282073;0.005798141472041607
102;0.0036253545802297457;0.005180003121495247
103;0.0036548555165283243;0.00430541904643178
104;0.003481968059995264;0.005326349288225174
105;0.003585963589051422;0.005350850522518158
106;0.0034080706976072966;0.005174355115741491
107;0.0033512656941553053;0.004684136714786291
108;0.003398516364747061;0.004528643563389778
109;0.003438982260325607;0.004814721178263426
110;0.0034661225102543126;0.004794615786522627
111;0.003429834614507854;0.004484327044337988
112;0.0033647558434409496;0.004329795017838478
113;0.0034343797575137665;0.004089665599167347
114;0.0033046184832511366;0.0039819334633648396
115;0.0033101217375347777;0.004356995690613985
116;0.0033455299804391304;0.004326344933360815
117;0.003277598175149903;0.00438110064715147
118;0.0032951095413838354;0.0040632253512740135
119;0.0032805329241420863;0.004206568002700806
120;0.0032981484513378368;0.003949889913201332
121;0.003311607918596633;0.004696227144449949
122;0.003375951190839328;0.004479664843529463
