;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
463;0.0;-4.063225;-0.71200436;7.968328
464;0.0;-3.908509;-0.5991202;9.169727
465;0.0;-3.777288;-0.13238098;8.40333
466;0.0;-3.9049551;-0.03430454;9.029055
467;0.0;-4.0648537;-0.09476938;10.196988
468;0.0;-4.2121167;-0.14866947;11.449227
469;0.0;-4.017099;0.6267119;10.468413
470;0.0;-4.0861278;0.8300712;11.6007595
471;0.0;-4.2345996;0.7950263;13.429858
472;0.0;-4.473917;0.6503055;15.018134
473;0.0;-4.254985;1.4415805;14.107804
474;0.0;-4.1185317;1.6725315;15.84702
475;0.0;-4.416414;1.3325957;16.801823
476;0.0;-5.049061;0.5370265;16.140213
477;0.0;-5.682868;-0.010710915;10.885349
478;0.0;-5.3302226;-0.25716066;9.1307335
479;0.0;-3.2071786;1.3380252;10.941717
480;0.0;-0.50085247;4.1452227;14.848882
481;0.0;-0.9915123;4.668626;13.4480715
482;0.0;-2.450819;5.4344316;19.006887
483;0.04;-4.2573357;9.21573;37.759674
484;2.03;-7.4188633;17.217918;75.738754
485;20.92;-20.446716;21.999577;127.18727
486;91.6;-17.601599;53.668198;224.79584
487;288.47;51.76791;165.10416;402.8242
488;576.4;293.2134;458.0093;729.2923
489;947.68;733.5169;938.61316;1190.9338
490;1398.35;1281.8771;1492.7999;1686.6708
491;1920.8901;1822.954;1996.6565;2132.0364
492;2506.08;2382.04;2511.6133;2612.8896
493;3147.88;3003.5964;3114.6545;3205.849
494;3810.1099;3688.8699;3806.376;3902.296
495;4512.5703;4381.383;4512.751;4617.7793
496;5203.2803;5078.039;5222.5327;5335.2446
497;5916.0303;5768.7036;5921.9995;6041.398
498;6595.57;6448.4346;6609.9624;6738.053
499;7249.67;7110.941;7281.8857;7420.534
500;7866.9697;7751.3955;7934.058;8084.851
501;8478.12;8331.325;8524.321;8687.477
502;9030.15;8850.569;9055.648;9231.513
503;9494.53;9341.61;9561.04;9749.149
504;9911.94;9775.891;10008.452;10209.847
