;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
917;2154.1401;2063.4834;2140.7397;2230.7756
918;1710.57;1717.2953;1789.8892;1873.8754
919;1311.99;1282.0394;1350.5282;1424.5458
920;951.13995;862.05817;920.13055;984.962
921;653.26996;565.57556;622.95654;688.81824
922;385.15;344.4685;402.84674;466.95224
923;181.62001;146.04929;204.5318;262.45718
924;60.49;-13.386718;38.48508;87.23111
925;16.17;-78.15367;-27.554914;18.739473
926;4.38;-45.622078;3.0746496;49.609318
927;1.6;-5.5574837;42.005272;86.313644
928;0.120000005;-2.711737;35.9654;71.18386
929;0.120000005;-43.207657;-8.24585;22.146433
930;0.11;-57.562355;-28.856808;4.1957293
931;0.1;-66.16833;-36.39364;1.4691352
932;0.01;-64.83201;-36.544334;1.2069153
933;0.01;-60.405636;-28.77655;7.44279
934;0.01;-39.845318;-10.561579;24.961626
935;0.01;-36.61568;-5.602771;28.923332
936;0.01;-31.19586;-5.0319333;27.3972
937;0.0;-28.765419;-0.5998853;30.867437
938;0.0;-23.164007;1.5744303;32.460056
939;0.0;-17.34998;6.740793;38.94127
