Timestamp;Photovoltaik [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen
2026-04-14 19:00:00;1824.89;2017.68
2026-04-14 20:00:00;56.49;1884.9
2026-04-14 21:00:00;0.0;2012.72
2026-04-14 22:00:00;0.0;2132.38
2026-04-14 23:00:00;0.0;2230.84
2026-04-15 00:00:00;0.0;2441.95
2026-04-15 01:00:00;0.0;2676.69
2026-04-15 02:00:00;0.0;3253.38
2026-04-15 03:00:00;0.0;3875.78
2026-04-15 04:00:00;0.0;4157.99
2026-04-15 05:00:00;0.04;4276.52
2026-04-15 06:00:00;403.03;4639.41
2026-04-15 07:00:00;4843.33;4570.09
2026-04-15 08:00:00;13976.65;4128.58
2026-04-15 09:00:00;24964.55;2245.17
2026-04-15 10:00:00;34869.76;1432.09
2026-04-15 11:00:00;41378.09;1861.47
2026-04-15 12:00:00;43496.51;2371.76
2026-04-15 13:00:00;42224.74;2246.9
2026-04-15 14:00:00;38043.0;2006.83
2026-04-15 15:00:00;31708.64;1716.47
2026-04-15 16:00:00;24364.68;1355.72
2026-04-15 17:00:00;15698.35;1157.75
2026-04-15 18:00:00;7199.87;1405.9
2026-04-15 19:00:00;1637.02;2157.16
2026-04-15 20:00:00;45.44;3063.13
2026-04-15 21:00:00;0.0;4383.28
2026-04-15 22:00:00;0.0;5714.99
2026-04-15 23:00:00;0.0;6711.56
2026-04-16 00:00:00;0.0;7160.2
2026-04-16 01:00:00;0.0;7136.19
2026-04-16 02:00:00;0.0;6988.36
2026-04-16 03:00:00;0.0;6771.55
2026-04-16 04:00:00;0.0;6156.4
2026-04-16 05:00:00;0.02;5616.52
2026-04-16 06:00:00;258.76;5428.82
2026-04-16 07:00:00;3304.99;5236.78
2026-04-16 08:00:00;10029.47;3961.39
2026-04-16 09:00:00;20048.18;2352.9
2026-04-16 10:00:00;30511.16;1893.45
2026-04-16 11:00:00;38242.04;2019.94
2026-04-16 12:00:00;39960.09;2821.94
2026-04-16 13:00:00;38519.47;4065.59
2026-04-16 14:00:00;35916.06;5339.13
2026-04-16 15:00:00;31088.83;6088.25
2026-04-16 16:00:00;24180.77;6056.08
2026-04-16 17:00:00;16649.97;5537.33
2026-04-16 18:00:00;8724.15;4230.53
2026-04-16 19:00:00;2390.2;2976.26
2026-04-16 20:00:00;67.84;2430.18
2026-04-16 21:00:00;0.0;2325.01
2026-04-16 22:00:00;0.0;2398.26
2026-04-16 23:00:00;0.0;2339.33
2026-04-17 00:00:00;0.0;2435.38
2026-04-17 01:00:00;0.0;2428.88
2026-04-17 02:00:00;0.0;2463.54
2026-04-17 03:00:00;0.0;2560.62
2026-04-17 04:00:00;0.0;2699.96
2026-04-17 05:00:00;0.18;2670.97
2026-04-17 06:00:00;662.37;2785.68
2026-04-17 07:00:00;6481.75;2834.95
2026-04-17 08:00:00;17662.8;2136.52
2026-04-17 09:00:00;30375.01;1021.49
2026-04-17 10:00:00;40481.88;677.66
2026-04-17 11:00:00;46720.33;748.52
2026-04-17 12:00:00;48300.33;836.99
2026-04-17 13:00:00;46755.25;871.6
2026-04-17 14:00:00;42857.84;888.77
2026-04-17 15:00:00;36789.61;935.05
2026-04-17 16:00:00;29626.42;1207.82
2026-04-17 17:00:00;19766.94;1485.37
2026-04-17 18:00:00;9556.98;2201.37
2026-04-17 19:00:00;2400.11;3372.21
2026-04-17 20:00:00;85.7;5088.77
2026-04-17 21:00:00;0.08;6904.0
2026-04-17 22:00:00;0.01;7739.13
2026-04-17 23:00:00;0.01;7930.1
2026-04-18 00:00:00;0.01;7910.45
2026-04-18 01:00:00;0.0;7181.55
2026-04-18 02:00:00;0.0;6571.05
2026-04-18 03:00:00;0.0;5735.28
2026-04-18 04:00:00;0.0;5061.97
2026-04-18 05:00:00;0.58;4515.72
2026-04-18 06:00:00;642.66;4389.05
2026-04-18 07:00:00;5407.91;4010.28
2026-04-18 08:00:00;14654.4;2761.28
2026-04-18 09:00:00;25193.36;1298.79
2026-04-18 10:00:00;34145.69;819.62
2026-04-18 11:00:00;40861.22;960.67
2026-04-18 12:00:00;41786.31;1610.85
2026-04-18 13:00:00;38681.65;2083.13
2026-04-18 14:00:00;32069.33;2626.42
2026-04-18 15:00:00;25691.62;3011.86
2026-04-18 16:00:00;18752.54;3215.0
2026-04-18 17:00:00;12369.2;3246.01
2026-04-18 18:00:00;6153.25;3559.12
2026-04-18 19:00:00;1605.29;3951.72
2026-04-18 20:00:00;51.8;3832.57
2026-04-18 21:00:00;0.05;4101.45
2026-04-18 22:00:00;0.02;3976.65
2026-04-18 23:00:00;0.02;3657.1
2026-04-19 00:00:00;0.01;3377.23
2026-04-19 01:00:00;0.01;3486.94
2026-04-19 02:00:00;0.0;3653.62
2026-04-19 03:00:00;0.0;4463.14
2026-04-19 04:00:00;0.0;5116.35
2026-04-19 05:00:00;0.18;6613.78
2026-04-19 06:00:00;418.35;7468.72
2026-04-19 07:00:00;3119.27;8235.2
2026-04-19 08:00:00;7713.51;8933.48
2026-04-19 09:00:00;13347.35;8896.16
2026-04-19 10:00:00;17655.14;8738.18
2026-04-19 11:00:00;20338.92;10478.38
2026-04-19 12:00:00;22776.25;12649.84
2026-04-19 13:00:00;22977.55;13846.54
2026-04-19 14:00:00;22376.85;14973.88
2026-04-19 15:00:00;21113.01;16492.71
2026-04-19 16:00:00;18780.49;18782.84
2026-04-19 17:00:00;13966.79;22012.02
2026-04-19 18:00:00;7712.36;21696.41
2026-04-19 19:00:00;2171.18;19997.3
2026-04-19 20:00:00;82.63;18365.84
2026-04-19 21:00:00;0.45;17107.91
2026-04-19 22:00:00;0.02;16959.28
2026-04-19 23:00:00;0.02;17334.6
