;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.010000001;-335.17352;46.47591;234.50708
1;0.0;-181.63734;116.51509;204.49644
2;0.0;-242.91669;57.436333;298.9759
3;0.0;-464.5746;-78.14047;578.884
4;0.0;-699.6652;-137.90047;1258.3744
5;0.58;-659.0858;182.1847;2746.0552
6;642.66;90.64553;1368.0111;5548.5234
7;5407.91;2071.918;4052.7693;10113.7
8;14654.399;5924.484;9046.58;16901.074
9;25193.361;12250.452;16990.305;26099.219
10;34145.69;20737.61;27050.639;36443.688
11;40861.22;29604.773;36621.965;45244.72
12;41786.31;36209.066;42704.582;49973.332
13;38681.65;38328.03;43506.39;49597.93
14;32069.33;35221.25;39080.594;44724.742
15;25691.62;27752.828;30768.166;36695.156
16;18752.54;18215.105;20875.553;27239.818
17;12369.2;9392.693;11868.909;18128.89
18;6153.2505;3285.2153;5470.1836;10920.765
19;1605.29;92.68489;1854.2671;6147.493
20;51.800003;-1068.5183;278.45798;3400.0315
21;0.05;-1188.6923;-185.60765;1938.7173
22;0.020000001;-920.4517;-189.6673;1178.3362
23;0.020000001;-598.6761;-80.457016;773.28076
24;0.010000001;-370.03088;-5.21679;556.3661
25;0.010000001;-288.19656;-17.09964;458.88644
26;0.0;-358.76736;-101.70015;492.70337
27;0.0;-535.9389;-200.45589;748.0697
28;0.0;-689.6686;-172.64178;1442.7753
29;0.17999999;-570.03253;224.3621;2914.8389
30;418.34998;191.07841;1399.2981;5580.3247
31;3119.27;2051.5327;3906.137;9831.3955
32;7713.51;5448.143;8250.629;15854.724
33;13347.35;10565.721;14548.994;23364.426
34;17655.14;16913.191;21953.324;31188.172
35;20338.92;23031.07;28497.387;37333.97
36;22776.25;26950.586;32021.225;40014.723
37;22977.55;27324.795;31546.676;38781.875
38;22376.85;24018.736;27410.613;34279.63
39;21113.01;18197.602;21038.758;27815.545
40;18780.49;11736.368;14261.387;20847.748
41;13966.79;6316.4473;8586.157;14637.742
42;7712.3604;2648.5454;4596.9365;9826.357
43;2171.18;554.3785;2104.494;6397.61
44;82.63;-447.4923;693.1795;4046.5999
45;0.45;-767.6246;28.291906;2514.0664
46;0.020000001;-737.03345;-209.80626;1547.2948
47;0.020000001;-583.6127;-270.61743;929.7143
