;Echte_Erzeugung_MWh;Quantil_0_1_MWh;Median_q0_5_MWh;Quantil_0_9_MWh
0;0.0;-85.013504;8.65843;123.902985
1;0.0;-49.16433;42.88625;151.4572
2;0.0;-30.320019;65.48129;181.67087
3;0.0;-28.816605;69.741486;194.26038
4;0.0;-83.32228;13.372687;132.01399
5;0.0;-81.26857;14.409863;120.57513
6;0.0;-89.101326;9.932664;119.07465
7;0.0;-80.73932;20.016651;132.57597
8;0.0;-122.86986;-23.861126;81.08653
9;0.0;-123.55869;-24.286692;72.14546
10;0.0;-145.87222;-46.642548;53.817
11;0.0;-144.19724;-44.884647;61.785515
12;0.0;-159.5852;-60.034946;42.845284
13;0.0;-105.06982;-1.8762922;97.38851
14;0.0;-64.69387;37.805294;143.85716
15;0.0;-25.023598;75.006355;186.53117
16;0.0;-43.346085;53.900608;159.64438
17;0.0;-23.640476;75.63736;179.10089
18;0.0;-34.652866;62.69418;172.87566
19;0.0;-40.230015;55.52914;167.34251
20;0.0;-73.28243;22.486288;126.70616
21;0.0;-50.171608;51.340416;157.19203
22;0.0;-38.977825;61.171574;174.40335
23;0.58;-26.368378;71.407814;186.15291
24;9.28;-46.173534;51.198124;160.58768
25;49.04;-21.625755;81.27649;196.96898
26;171.51;7.659695;109.97663;234.41447
27;412.83002;95.98178;201.42836;326.84732
28;706.7;284.42923;402.0791;525.60645
29;1086.26;667.1794;806.4969;948.0132
30;1543.1699;1182.3857;1336.3517;1497.6324
31;2071.78;1791.2256;1957.2732;2130.0015
32;2654.69;2419.0906;2598.0837;2779.7517
33;3297.46;3077.0808;3271.818;3477.2559
34;3986.59;3717.2434;3922.4683;4142.995
35;4715.65;4354.142;4572.113;4793.314
36;5378.78;5020.3;5256.4873;5474.643
37;5950.81;5703.722;5961.051;6196.2188
38;6606.21;6320.8833;6586.096;6830.217
39;7257.5503;6826.773;7097.6357;7338.4473
40;7722.7397;7292.617;7576.2485;7818.547
41;8273.689;7740.222;8038.3745;8305.39
42;8837.79;8195.688;8506.231;8785.07
43;9311.47;8676.1875;9002.954;9283.09
44;9789.77;9194.51;9536.553;9827.901
45;10152.75;9687.423;10043.591;10358.862
46;10336.65;10097.648;10460.807;10786.46
47;10582.04;10337.93;10695.178;11018.71
48;10606.0;10450.552;10802.874;11123.831
49;10473.44;10407.916;10755.748;11087.708
50;10425.391;10253.082;10589.868;10916.123
51;10281.47;10006.603;10336.641;10643.412
52;10146.52;9764.443;10093.25;10394.399
53;9848.851;9512.78;9839.63;10146.03
54;9546.54;9283.451;9607.537;9908.76
55;9139.74;8998.955;9314.789;9604.417
56;8697.58;8646.54;8949.698;9237.347
57;8216.69;8136.151;8418.43;8705.139
58;7768.7505;7575.628;7842.093;8113.2017
59;7386.3003;7009.5347;7266.775;7520.9663
60;7062.08;6561.13;6817.634;7069.2407
61;6647.46;6189.4644;6445.977;6697.8477
62;6202.8003;5935.303;6192.426;6437.3525
63;5779.29;5660.746;5910.4087;6149.383
64;5350.43;5325.4863;5560.53;5801.07
65;4914.1797;4827.439;5040.132;5275.3877
66;4459.71;4301.2686;4500.945;4720.415
67;4028.22;3793.4666;3987.346;4194.0684
68;3666.47;3380.797;3571.872;3775.9478
69;3291.4302;2994.4019;3179.8694;3373.338
70;2911.32;2681.0369;2865.6672;3047.3323
71;2499.99;2370.2683;2550.4297;2727.2852
72;2089.49;2036.6193;2205.6565;2381.6116
73;1711.25;1595.548;1744.2067;1903.7878
74;1341.5499;1153.8605;1291.1118;1432.4344
75;1010.97003;765.813;897.50183;1034.141
76;724.36;475.20184;604.46045;745.6034
77;480.71002;233.81473;356.50488;488.45712
78;275.72;78.50515;200.89835;329.89877
79;124.49999;-22.169926;100.10315;238.44289
80;38.8;-77.23559;41.92263;189.08447
81;9.73;-129.55377;-17.828838;118.470695
82;3.23;-131.49266;-17.99424;111.734795
83;0.03;-77.23927;39.823563;172.83022
84;0.010000001;-5.0657697;112.04143;249.74704
85;0.010000001;22.069548;132.05292;255.87389
86;0.010000001;-24.112848;83.05956;198.26804
87;0.010000001;-103.04928;1.7334785;117.4569
88;0.0;-187.72478;-84.4375;32.384438
89;0.0;-222.58302;-120.38624;-17.459696
90;0.0;-207.65251;-99.68353;1.340073
91;0.0;-152.24438;-39.505116;71.05338
92;0.0;-114.93887;-3.5928187;110.123856
93;0.0;-80.53631;24.825787;127.19673
94;0.0;-81.34898;22.037115;125.09991
95;0.0;-77.555595;25.412159;135.75195
96;0.0;-101.07498;0.61762995;110.82206
97;0.0;-88.27788;12.177669;109.12749
98;0.0;-100.077324;1.8073071;98.33341
99;0.0;-108.3402;-6.231139;93.91589
100;0.0;-146.99898;-47.32613;48.53106
101;0.0;-126.50695;-27.751747;60.82633
102;0.0;-117.17675;-17.089376;78.7828
103;0.0;-95.30169;5.8204646;110.93081
104;0.0;-108.46398;-8.589535;95.974266
105;0.0;-78.06963;23.501284;122.13554
106;0.0;-70.63302;31.099293;134.06401
107;0.0;-51.174088;49.01615;156.79507
108;0.0;-69.81941;28.687325;132.92383
109;0.0;-43.62543;57.8267;159.93207
110;0.0;-64.597824;36.545795;146.25041
111;0.0;-93.49357;6.4827266;119.54728
112;0.0;-152.6021;-52.95066;53.204147
113;0.0;-133.02663;-27.48228;76.77059
114;0.0;-106.74179;-0.28030878;110.70032
115;0.0;-69.96656;35.56452;150.41618
116;0.0;-82.66175;21.438498;131.93915
117;0.0;-67.69577;39.381588;153.23991
118;0.0;-78.82615;25.106026;148.2799
119;0.17999999;-83.52575;18.650414;146.70013
120;6.5099998;-101.47491;1.022714;122.03574
121;30.980001;-46.558975;63.262493;190.65538
122;117.560005;7.84713;118.49507;258.68918
123;263.3;83.35996;194.72092;334.30222
124;441.6;198.24536;315.58337;451.58597
125;644.22003;416.64612;548.9422;700.6665
126;877.25;697.3939;835.7869;1000.9485
127;1156.2101;996.75684;1139.2155;1305.2437
128;1458.72;1290.8668;1439.2623;1604.043
129;1762.55;1618.0529;1776.5835;1958.3073
130;2084.83;1929.6714;2092.9792;2288.1028
131;2407.41;2229.4517;2397.9578;2591.3062
132;2765.18;2529.1653;2705.0823;2896.2134
133;3165.96;2861.9724;3051.1619;3258.2075
134;3548.9302;3241.5554;3440.5305;3655.8257
135;3867.27;3645.7834;3853.8384;4072.8242
136;4089.5898;4039.6294;4255.593;4479.5854
137;4280.5996;4327.381;4547.318;4788.709
138;4512.18;4472.8804;4686.3174;4929.9478
139;4772.77;4510.013;4718.995;4952.5317
140;4916.0;4582.0435;4798.6714;5030.087
141;4968.3896;4709.1543;4939.2827;5189.9175
142;5110.9897;4853.541;5089.0005;5343.8623
143;5343.54;4942.7334;5179.5947;5424.6323
144;5522.92;5049.6543;5292.183;5538.975
145;5620.64;5176.299;5426.559;5695.153
146;5831.83;5363.9863;5619.3594;5895.697
147;5800.86;5569.8335;5830.9497;6101.4497
148;5843.24;5739.2583;6001.123;6280.4336
149;5802.48;5741.6714;5992.471;6280.06
150;5666.4897;5629.145;5871.088;6148.7925
151;5665.34;5406.873;5638.684;5904.5513
152;5629.0;5220.103;5452.7812;5716.516
153;5601.05;5067.5635;5305.9424;5577.3853
154;5562.44;5052.6235;5300.534;5567.7183
155;5584.36;5102.757;5358.6333;5622.9683
156;5514.08;5211.9565;5471.51;5745.246
157;5317.21;5221.2095;5472.884;5757.841
158;5234.07;5123.0146;5362.4697;5643.67
159;5047.65;4903.244;5132.1416;5401.962
160;4943.89;4661.3667;4883.745;5152.576
161;4828.49;4399.358;4616.588;4882.3354
162;4645.3403;4241.7837;4467.235;4724.962
163;4362.77;4134.777;4365.336;4621.602
164;4047.07;4013.024;4237.9316;4497.9253
165;3669.8801;3696.4573;3902.4895;4158.1665
166;3322.63;3232.7478;3421.0159;3664.2625
167;2927.2;2690.7488;2866.1272;3095.7131
168;2535.66;2204.2654;2375.526;2601.6152
169;2154.1401;1768.0778;1934.324;2141.8174
170;1710.57;1474.3282;1642.5184;1836.5817
171;1311.99;1215.0005;1380.0953;1578.1959
172;951.13995;930.50806;1082.6115;1282.6868
173;653.27;527.2113;660.2771;846.3151
174;385.15;156.53871;278.6258;454.2383
175;181.62;-102.35945;20.2196;197.64998
176;60.489998;-201.82755;-74.8252;109.75136
177;16.17;-209.8601;-82.5993;90.894104
178;4.38;-160.19705;-28.79766;141.85895
179;1.5999999;-86.82715;45.63814;220.21558
180;0.12;-20.184835;107.78689;287.42654
181;0.12;-1.0829855;119.06207;287.54538
182;0.11;-28.272736;89.51732;249.06464
183;0.099999994;-75.336365;41.338406;199.77075
184;0.010000001;-142.11702;-26.58475;131.37076
185;0.010000001;-204.44186;-91.76776;45.976143
186;0.010000001;-244.14772;-128.84615;3.2085795
187;0.010000001;-241.24963;-122.485985;19.237242
188;0.010000001;-227.34926;-108.52647;38.9493
189;0.0;-173.31755;-57.545097;82.637474
190;0.0;-146.035;-28.60854;116.5309
191;0.0;-106.192924;11.166973;164.54837
