Epoch;train_loss;val_loss
0;0.1877795806662603;0.16717490553855896
1;0.08794373036785559;0.09527014940977097
2;0.05717454715208574;0.058002155274152756
3;0.03682352898811752;0.034891463816165924
4;0.02702128861776807;0.033267103135585785
5;0.021800739605995743;0.02310151979327202
6;0.021847108294340698;0.030973540619015694
7;0.023508896373889664;0.026271112263202667
8;0.020461576736786148;0.025347372516989708
9;0.019543200985274532;0.020404648035764694
10;0.020800300196490505;0.015022548846900463
11;0.017664413137192077;0.018083427101373672
12;0.018119625916535206;0.046155206859111786
13;0.01731971156021411;0.017280977219343185
14;0.016998008274557917;0.019294241443276405
15;0.015639127655462784;0.01822231337428093
16;0.014828284101730043;0.01614290289580822
17;0.016716097142886032;0.02555879019200802
18;0.014371077953414484;0.01461852341890335
19;0.015041489408097485;0.01819351129233837
20;0.013911324680190195;0.02567858248949051
21;0.014144998297772625;0.019173722714185715
22;0.014798901890489187;0.014076905325055122
23;0.016789870336651802;0.020700981840491295
24;0.01624993251805956;0.022725993767380714
25;0.014456507326527075;0.013047648593783379
26;0.012689356776801023;0.01803748682141304
27;0.013885117686268959;0.01920076459646225
28;0.01473362028429454;0.018785947933793068
29;0.012409710155969316;0.019872726872563362
30;0.012690283231098543;0.01498660072684288
31;0.014759582552042875;0.015375988557934761
32;0.016138020902872086;0.020355161279439926
33;0.013239489487287674;0.011000685393810272
34;0.013785034375773235;0.015568097122013569
35;0.01347051306881688;0.02672521024942398
36;0.0135488197715445;0.014271646738052368
37;0.01178235128860582;0.01458448264747858
38;0.012242353521287441;0.012043081223964691
39;0.011879150163043629;0.011444836854934692
40;0.012401825409721245;0.015332985669374466
41;0.014538845978677273;0.01956651359796524
42;0.011913932055573572;0.013917367905378342
43;0.01091731453991749;0.010053176432847977
44;0.010776738043535839;0.011575759388506413
45;0.01068213529122824;0.01070454716682434
46;0.01017700004476038;0.011286216787993908
47;0.009965744123540142;0.010757792741060257
48;0.010013311529870738;0.010205072350800037
49;0.01195266055451198;0.012660838663578033
50;0.010444270933724263;0.012143534608185291
51;0.009710133604874665;0.011597290635108948
52;0.00921835962005637;0.009762599132955074
53;0.00906189931133254;0.00980968214571476
54;0.009126501221379096;0.009555600583553314
55;0.008692385925149376;0.01016942411661148
56;0.008785084228623997;0.008740142919123173
57;0.008699213006449017;0.009138119406998158
58;0.008911790453236212;0.01009510550647974
59;0.009222465186295185;0.011123606003820896
60;0.008566758870570497;0.009831229224801064
61;0.008692397270351648;0.009599689394235611
62;0.00910626002587378;0.00907868891954422
63;0.009703740710392594;0.009454824961721897
64;0.009017397480254824;0.010453933849930763
65;0.00847489482045851;0.009076540358364582
66;0.008502286456694657;0.009019983001053333
67;0.008145199559459632;0.010975364595651627
68;0.008611096196215261;0.009123937226831913
69;0.008509351998906244;0.008336726576089859
70;0.008654624668203971;0.010053695179522038
71;0.008290913717990572;0.009409365244209766
72;0.008438889043066989;0.009147029370069504
73;0.008445674701678481;0.00849798135459423
74;0.00837514778091149;0.008904006332159042
75;0.007867805532772432;0.008787351660430431
76;0.008509461281143806;0.009017478674650192
77;0.007733538704500957;0.008589019998908043
78;0.008270646974613721;0.009058542549610138
79;0.007835668130693111;0.008770925924181938
80;0.00819794954308732;0.00913218129426241
81;0.008275064957243476;0.009753801859915257
82;0.007950857112353498;0.009104270488023758
83;0.008435941512950441;0.00910307839512825
84;0.007790029641579498;0.008944409899413586
85;0.00826993952928619;0.009518412873148918
86;0.008195306110957807;0.009349493309855461
87;0.007896356877278198;0.00898774340748787
88;0.00800113835033368;0.008995553478598595
89;0.007923279656097293;0.008871056139469147
90;0.0077954440335319805;0.008946605026721954
91;0.0082903785250065;0.009109746664762497
92;0.007722498108209534;0.00875641405582428
93;0.007583067202093926;0.008887398056685925
94;0.00805425580421632;0.008770018815994263
